Transaction ID,Customer ID,Product Category,Product Name,Quantity,Unit Price,Total Amount,Purchase Date,Customer City,Payment Method
TXN-20260001,CUST-2309,Supermarket Sales,Shampoo,4,834.54,3338.16,08/04/2026,Faisalabad,Credit Card
TXN-20260002,CUST-1228,Supermarket Sales,Shampoo,5,818.23,4091.15,26/03/2026,Lahore,EasyPaisa
TXN-20260003,CUST-1051,Electronics,Smart Watch,1,6246.27,6246.27,06/02/2026,Faisalabad,Credit Card
TXN-20260004,CUST-1563,Electronics,Power Bank,3,2570.38,7711.14,28/03/2026,Rawalpindi,EasyPaisa
TXN-20260005,CUST-1501,Electronics,Bluetooth Speaker,5,3623.32,18116.6,08/04/2026,Islamabad,EasyPaisa
TXN-20260006,CUST-1457,Restaurant Orders,Pizza Large,2,1669.38,3338.76,11/06/2026,Multan,Debit Card
TXN-20260007,CUST-1285,Clothing,T-Shirt,1,1192.08,1192.08,12/06/2026,Multan,Cash
TXN-20260008,CUST-1209,Supermarket Sales,Detergent Powder,1,1427.16,1427.16,12/01/2026,Islamabad,Cash
TXN-20260009,CUST-2385,Groceries,Sugar 5kg,2,740.61,1481.22,04/03/2026,Rawalpindi,EasyPaisa
TXN-20260010,CUST-2116,Restaurant Orders,Burger Combo,1,821.95,821.95,06/06/2026,Faisalabad,JazzCash
TXN-20260011,CUST-1178,Clothing,Jacket,2,4685.77,9371.54,01/03/2026,Faisalabad,Debit Card
TXN-20260012,CUST-2209,Supermarket Sales,Body Wash,4,660.84,2643.36,15/03/2026,Multan,JazzCash
TXN-20260013,CUST-1864,Clothing,T-Shirt,3,1193.01,3579.03,31/05/2026,Islamabad,EasyPaisa
TXN-20260014,CUST-1065,Groceries,Tea Pack,2,982.8,1965.6,09/04/2026,Faisalabad,Cash
TXN-20260015,CUST-1061,Clothing,Jacket,5,4532.37,22661.85,17/03/2026,Multan,Debit Card
TXN-20260016,CUST-1191,Electronics,Power Bank,5,2443.62,12218.1,13/01/2026,Rawalpindi,EasyPaisa
TXN-20260017,CUST-1447,Groceries,Basmati Rice 5kg,3,1819.27,5457.81,26/02/2026,Multan,Credit Card
TXN-20260018,CUST-1476,Restaurant Orders,Biryani Platter,2,610.67,1221.34,10/06/2026,Lahore,Cash
TXN-20260019,CUST-2034,Groceries,Tea Pack,3,905.67,2717.01,03/02/2026,Lahore,Debit Card
TXN-20260020,CUST-2232,Groceries,Tea Pack,2,919.19,1838.38,19/05/2026,Islamabad,JazzCash
TXN-20260021,CUST-1054,Restaurant Orders,Biryani Platter,3,619.83,1859.49,04/05/2026,Islamabad,Debit Card
TXN-20260022,CUST-2149,Electronics,Power Bank,2,2615.72,5231.44,27/02/2026,Multan,EasyPaisa
TXN-20260023,CUST-1407,Restaurant Orders,Biryani Platter,4,575.42,2301.68,04/01/2026,Islamabad,JazzCash
TXN-20260024,CUST-2466,Electronics,Power Bank,3,2467.15,7401.45,30/05/2026,Faisalabad,Debit Card
TXN-20260025,CUST-2330,Electronics,Laptop,5,84757.55,423787.75,24/05/2026,Islamabad,JazzCash
TXN-20260026,CUST-2436,Clothing,T-Shirt,4,1216.25,4865,19/03/2026,Multan,EasyPaisa
TXN-20260027,CUST-2116,Electronics,Laptop,1,81135.45,81135.45,19/03/2026,Faisalabad,Cash
TXN-20260028,CUST-1859,Electronics,Laptop,2,88291.7,176583.4,10/04/2026,Faisalabad,Debit Card
TXN-20260029,CUST-1451,Restaurant Orders,Cold Drink 1.5L,2,151.31,302.62,17/04/2026,Multan,Cash
TXN-20260030,CUST-1919,Supermarket Sales,Dishwasher Liquid,3,445.87,1337.61,09/01/2026,Multan,Debit Card
TXN-20260031,CUST-2206,Clothing,Jacket,2,4475.11,8950.22,03/04/2026,Lahore,Debit Card
TXN-20260032,CUST-1569,Restaurant Orders,Biryani Platter,3,573.63,1720.89,18/02/2026,Lahore,EasyPaisa
TXN-20260033,CUST-1013,Electronics,Laptop,5,86204.49,431022.45,06/01/2026,Lahore,Debit Card
